dateff,mktrf,smb,hml,rf,umd
29-03-18,-0.0235,0.0393,-0.0011,0.0012,-0.0126
30-04-18,0.0029,0.011,0.0053,0.0014,0.0027
31-05-18,0.0265,0.0524,-0.0316,0.0014,0.0376
29-06-18,0.0048,0.0117,-0.0239,0.0014,-0.0243
31-07-18,0.0319,-0.0215,0.0039,0.0016,-0.0161
31-08-18,0.0344,0.0123,-0.0412,0.0016,0.053
28-09-18,0.0006,-0.0237,-0.0134,0.0015,-0.0009
31-10-18,-0.0768,-0.0468,0.0341,0.0019,-0.0182
30-11-18,0.0169,-0.0074,0.0019,0.0018,-0.014
31-12-18,-0.0955,-0.026,-0.0151,0.0019,0.0173
