,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199908,-2.8942,-3.2648,-3.3903,-0.1487,-3.3714,-2.4784
199909,0.599,-0.7334,-2.7296,-1.9824,-5.5054,-5.5311
199910,0.3724,-0.3152,-2.9845,6.7694,6.8816,4.2261
199911,13.471,5.7451,4.0539,4.1896,-3.6089,0.3255
199912,18.7639,7.6846,6.6298,8.3373,0.3792,2.8548
200001,0.1342,-0.3644,0.6944,-5.1094,-3.151,-6.2771
200002,27.0602,15.3737,12.9303,1.505,-7.1347,-4.4907
200003,-12.4914,-3.9829,-1.5791,8.2149,12.1697,11.9319
200004,-14.7715,-5.6587,-4.5944,-4.5518,0.1213,2.4673
200005,-8.1334,-5.4263,-4.9362,-3.7922,2.3427,-2.0912
200006,17.4751,8.8172,8.551,5.1201,-6.2001,-5.7666
200007,-7.301,1.2558,2.0756,-3.1121,3.7766,3.5824
200008,8.6306,5.2205,6.3514,7.544,7.6005,8.0504
200009,-7.3451,-0.6556,-0.6243,-6.0444,1.9449,-0.4501
200010,-8.4286,-1.3911,-1.7318,-2.1652,-0.2347,2.0049
200011,-16.5182,-4.5297,-2.8956,-10.7337,-3.0748,-2.1171
200012,2.7309,8.8064,8.3098,-0.1737,8.2971,8.7435
200101,12.6909,5.1617,6.4401,3.53,1.102,-0.1351
200102,-12.6741,-0.7532,0.3975,-11.3569,-0.8748,1.0827
200103,-7.7053,-1.0893,-1.5284,-8.0887,-1.8288,-1.4855
200104,10.5086,4.5821,5.149,8.8589,4.9629,4.7351
200105,3.9309,4.515,6.0381,0.3071,1.8635,4.1849
200106,6.4529,4.8326,2.4967,-2.1539,-1.8517,-0.3977
200107,-9.0706,-4.6165,-1.0676,-1.9057,-1.0207,1.1591
200108,-7.1981,-2.8651,-1.3625,-7.0432,-4.1192,-7.9811
200109,-17.1644,-13.3261,-14.0514,-8.1602,-10.0251,-8.1235
200110,11.4606,4.9514,4.4297,3.2431,0.5677,-5.9844
200111,8.7671,7.3807,8.8779,7.7986,6.6576,11.5637
200112,6.8938,6.6299,6.638,0.5345,2.8004,2.9232
200201,-4.9676,0.6698,2.9487,-1.0155,-1.7589,-2.2712
200202,-8.0603,-1.2147,-1.0463,-2.5919,0.0169,-4.7026
200203,8.9812,7.1725,10.1324,3.4803,5.5539,4.4778
200204,-3.7441,2.5473,4.0992,-7.2541,-0.5339,-7.2586
200205,-6.625,-3.7861,-2.5938,-1.4707,0.0776,-2.223
200206,-7.2346,-3.1158,-2.5279,-7.5703,-6.0895,-12.1287
200207,-15.0353,-14.4793,-14.8925,-6.5011,-8.6732,-13.5076
200208,-0.5457,0.5022,-0.8825,-0.0417,1.0022,5.1742
200209,-8.5337,-7.6204,-7.0084,-10.9283,-10.2604,-9.8651
200210,7.0104,4.1205,0.3067,9.9091,4.3411,5.6474
200211,13.4848,7.802,7.2495,5.0757,5.7442,8.8582
200212,-8.8647,-4.3992,-3.8602,-6.4223,-3.9454,-6.992
200301,-2.2663,-2.7157,-1.4443,-2.8703,-2.2482,-5.5973
200302,-3.7027,-2.3564,-3.5256,-1.5163,-2.7523,-4.6489
200303,1.6465,0.478,0.6633,1.5858,0.0867,-1.7379
200304,11.1124,9.3303,9.1768,7.5019,8.7702,11.4542
200305,13.2798,10.7969,9.8161,4.9488,6.8115,7.7369
200306,2.2065,2.3649,3.7729,1.1354,1.1911,0.8181
200307,8.0743,5.8493,6.6809,1.7983,2.182,0.6511
200308,4.4875,4.7685,6.2685,1.9295,1.3705,4.173
200309,-1.7785,-1.981,0.7135,-1.233,-0.6578,-3.6351
200310,8.3823,7.9506,10.401,4.9832,7.159,6.2906
200311,2.7795,3.5091,4.5977,0.7117,1.2885,2.5218
200312,1.003,2.4048,3.2452,4.1273,4.5659,6.7733
